readLength	count	fracTotal	fracReadsGreater
2183	1	7.29501e-05	0.452364
2184	4	0.0002918	0.452072
2185	6	0.000437701	0.451634
2186	1	7.29501e-05	0.451561
2187	3	0.00021885	0.451342
2188	1	7.29501e-05	0.451269
2189	2	0.0001459	0.451123
2190	9	0.000656551	0.450467
2191	3	0.00021885	0.450248
2192	3	0.00021885	0.450029
2193	7	0.000510651	0.449519
2194	6	0.000437701	0.449081
2195	7	0.000510651	0.44857
2196	10	0.000729501	0.447841
2197	14	0.0010213	0.446819
2198	7	0.000510651	0.446309
2199	19	0.00138605	0.444923
2200	19	0.00138605	0.443537
2201	24	0.0017508	0.441786
2202	21	0.00153195	0.440254
2203	29	0.00211555	0.438138
2204	23	0.00167785	0.43646
2205	23	0.00167785	0.434783
2206	25	0.00182375	0.432959
2207	28	0.0020426	0.430916
2208	23	0.00167785	0.429238
2209	32	0.0023344	0.426904
2210	25	0.00182375	0.42508
2211	32	0.0023344	0.422746
2212	21	0.00153195	0.421214
2213	20	0.001459	0.419755
2214	16	0.0011672	0.418588
2215	14	0.0010213	0.417566
2216	15	0.00109425	0.416472
2217	7	0.000510651	0.415961
2218	7	0.000510651	0.415451
2219	6	0.000437701	0.415013
2220	8	0.000583601	0.41443
2221	5	0.000364751	0.414065
2222	7	0.000510651	0.413554
2223	4	0.0002918	0.413262
2224	3	0.00021885	0.413043
2225	5	0.000364751	0.412679
2226	1	7.29501e-05	0.412606
2227	3	0.00021885	0.412387
2228	1	7.29501e-05	0.412314
2229	4	0.0002918	0.412022
2230	3	0.00021885	0.411803
2231	3	0.00021885	0.411584
2232	4	0.0002918	0.411293
2233	9	0.000656551	0.410636
2234	6	0.000437701	0.410198
2235	14	0.0010213	0.409177
2236	10	0.000729501	0.408448
2237	13	0.000948351	0.407499
2238	10	0.000729501	0.40677
2239	11	0.000802451	0.405967
2240	9	0.000656551	0.405311
2241	18	0.0013131	0.403998
2242	20	0.001459	0.402539
2243	16	0.0011672	0.401371
2244	13	0.000948351	0.400423
2245	20	0.001459	0.398964
2246	16	0.0011672	0.397797
2247	12	0.000875401	0.396922
2248	16	0.0011672	0.395754
2249	15	0.00109425	0.39466
2250	13	0.000948351	0.393712
2251	7	0.000510651	0.393201
2252	6	0.000437701	0.392763
2253	4	0.0002918	0.392472
2254	7	0.000510651	0.391961
2255	5	0.000364751	0.391596
2256	4	0.0002918	0.391304
2257	4	0.0002918	0.391013
2258	3	0.00021885	0.390794
2259	1	7.29501e-05	0.390721
2262	2	0.0001459	0.390575
2264	1	7.29501e-05	0.390502
2282	2	0.0001459	0.390356
2305	2	0.0001459	0.39021
2306	1	7.29501e-05	0.390137
2308	1	7.29501e-05	0.390064
2309	1	7.29501e-05	0.389991
2310	1	7.29501e-05	0.389918
2311	1	7.29501e-05	0.389845
2313	1	7.29501e-05	0.389772
2316	1	7.29501e-05	0.389699
2317	1	7.29501e-05	0.389626
2319	3	0.00021885	0.389408
2320	1	7.29501e-05	0.389335
2321	3	0.00021885	0.389116
2322	4	0.0002918	0.388824
2323	4	0.0002918	0.388532
2324	4	0.0002918	0.38824
2325	3	0.00021885	0.388022
2326	7	0.000510651	0.387511
2327	3	0.00021885	0.387292
2328	5	0.000364751	0.386927
2329	5	0.000364751	0.386563
2330	6	0.000437701	0.386125
2331	13	0.000948351	0.385177
2332	16	0.0011672	0.384009
2333	11	0.000802451	0.383207
2334	16	0.0011672	0.38204
2335	19	0.00138605	0.380654
2336	14	0.0010213	0.379632
2337	20	0.001459	0.378173
2338	17	0.00124015	0.376933
2339	13	0.000948351	0.375985
2340	18	0.0013131	0.374672
2341	20	0.001459	0.373213
2342	24	0.0017508	0.371462
2343	23	0.00167785	0.369784
2344	14	0.0010213	0.368763
2345	19	0.00138605	0.367377
2346	11	0.000802451	0.366574
2347	14	0.0010213	0.365553
2348	17	0.00124015	0.364313
2349	11	0.000802451	0.36351
2350	6	0.000437701	0.363073
2351	5	0.000364751	0.362708
2352	10	0.000729501	0.361978
2353	1	7.29501e-05	0.361905
2354	6	0.000437701	0.361468
2355	3	0.00021885	0.361249
2356	2	0.0001459	0.361103
2357	1	7.29501e-05	0.36103
2358	2	0.0001459	0.360884
2359	1	7.29501e-05	0.360811
2362	1	7.29501e-05	0.360738
2363	1	7.29501e-05	0.360665
2365	1	7.29501e-05	0.360592
2371	1	7.29501e-05	0.360519
2379	1	7.29501e-05	0.360446
2388	1	7.29501e-05	0.360374
2401	1	7.29501e-05	0.360301
2403	1	7.29501e-05	0.360228
2413	1	7.29501e-05	0.360155
2417	1	7.29501e-05	0.360082
2420	1	7.29501e-05	0.360009
2424	1	7.29501e-05	0.359936
2429	1	7.29501e-05	0.359863
2431	2	0.0001459	0.359717
2433	1	7.29501e-05	0.359644
2434	1	7.29501e-05	0.359571
2435	2	0.0001459	0.359425
2436	3	0.00021885	0.359206
2437	2	0.0001459	0.35906
