readLength	count	fracTotal	fracReadsGreater
2955	9	0.000656551	0.0339218
2956	9	0.000656551	0.0332652
2957	10	0.000729501	0.0325357
2958	6	0.000437701	0.032098
2959	11	0.000802451	0.0312956
2960	10	0.000729501	0.0305661
2961	13	0.000948351	0.0296177
2962	9	0.000656551	0.0289612
2963	10	0.000729501	0.0282317
2964	8	0.000583601	0.0276481
2965	3	0.00021885	0.0274292
2966	4	0.0002918	0.0271374
2967	8	0.000583601	0.0265538
2968	5	0.000364751	0.0261891
2969	2	0.0001459	0.0260432
2970	3	0.00021885	0.0258243
2971	3	0.00021885	0.0256055
2972	2	0.0001459	0.0254596
2973	3	0.00021885	0.0252407
2974	2	0.0001459	0.0250948
2976	1	7.29501e-05	0.0250219
2979	1	7.29501e-05	0.0249489
2980	1	7.29501e-05	0.024876
2992	1	7.29501e-05	0.024803
3019	1	7.29501e-05	0.0247301
3028	1	7.29501e-05	0.0246571
3029	2	0.0001459	0.0245112
3033	2	0.0001459	0.0243653
3034	1	7.29501e-05	0.0242924
3037	2	0.0001459	0.0241465
3041	1	7.29501e-05	0.0240735
3042	1	7.29501e-05	0.0240006
3043	1	7.29501e-05	0.0239276
3044	2	0.0001459	0.0237817
3045	2	0.0001459	0.0236358
3046	2	0.0001459	0.0234899
3048	2	0.0001459	0.023344
3049	2	0.0001459	0.0231981
3050	2	0.0001459	0.0230522
3051	2	0.0001459	0.0229063
3052	1	7.29501e-05	0.0228334
3053	3	0.00021885	0.0226145
3054	7	0.000510651	0.0221039
3055	2	0.0001459	0.021958
3056	3	0.00021885	0.0217391
3057	4	0.0002918	0.0214473
3058	4	0.0002918	0.0211555
3059	2	0.0001459	0.0210096
3060	2	0.0001459	0.0208637
3062	5	0.000364751	0.020499
3063	1	7.29501e-05	0.020426
3064	1	7.29501e-05	0.0203531
3065	2	0.0001459	0.0202072
3067	3	0.00021885	0.0199883
3068	2	0.0001459	0.0198424
3069	1	7.29501e-05	0.0197695
3070	1	7.29501e-05	0.0196965
3072	1	7.29501e-05	0.0196236
3073	1	7.29501e-05	0.0195506
3074	1	7.29501e-05	0.0194777
3077	1	7.29501e-05	0.0194047
3081	1	7.29501e-05	0.0193318
3082	1	7.29501e-05	0.0192588
3084	1	7.29501e-05	0.0191859
3088	1	7.29501e-05	0.0191129
3110	1	7.29501e-05	0.01904
3141	1	7.29501e-05	0.018967
3148	1	7.29501e-05	0.0188941
3153	1	7.29501e-05	0.0188211
3155	1	7.29501e-05	0.0187482
3159	1	7.29501e-05	0.0186752
3163	1	7.29501e-05	0.0186023
3177	1	7.29501e-05	0.0185293
3191	1	7.29501e-05	0.0184564
3192	1	7.29501e-05	0.0183834
3197	1	7.29501e-05	0.0183105
3200	3	0.00021885	0.0180916
3201	1	7.29501e-05	0.0180187
3204	1	7.29501e-05	0.0179457
3212	1	7.29501e-05	0.0178728
3218	1	7.29501e-05	0.0177998
3224	1	7.29501e-05	0.0177269
3230	2	0.0001459	0.017581
3231	4	0.0002918	0.0172892
3232	2	0.0001459	0.0171433
3234	1	7.29501e-05	0.0170703
3236	1	7.29501e-05	0.0169974
3239	1	7.29501e-05	0.0169244
3240	1	7.29501e-05	0.0168515
3241	3	0.00021885	0.0166326
3242	3	0.00021885	0.0164138
3243	2	0.0001459	0.0162679
3244	1	7.29501e-05	0.0161949
3245	2	0.0001459	0.016049
3246	2	0.0001459	0.0159031
3248	2	0.0001459	0.0157572
3249	3	0.00021885	0.0155384
3250	4	0.0002918	0.0152466
3251	2	0.0001459	0.0151007
3252	9	0.000656551	0.0144441
3253	5	0.000364751	0.0140794
3254	5	0.000364751	0.0137146
3255	2	0.0001459	0.0135687
3256	9	0.000656551	0.0129122
3257	7	0.000510651	0.0124015
3258	11	0.000802451	0.0115991
3259	12	0.000875401	0.0107237
3260	8	0.000583601	0.0101401
3261	7	0.000510651	0.00962941
3262	7	0.000510651	0.00911876
3263	14	0.0010213	0.00809746
3264	9	0.000656551	0.00744091
3265	13	0.000948351	0.00649256
3266	7	0.000510651	0.00598191
3267	13	0.000948351	0.00503356
3268	10	0.000729501	0.00430406
3269	6	0.000437701	0.00386636
3270	3	0.00021885	0.00364751
3271	4	0.0002918	0.0033557
3272	7	0.000510651	0.00284505
3273	6	0.000437701	0.00240735
3274	3	0.00021885	0.0021885
3275	2	0.0001459	0.0020426
3276	4	0.0002918	0.0017508
3277	1	7.29501e-05	0.00167785
3278	2	0.0001459	0.00153195
3279	1	7.29501e-05	0.001459
3280	4	0.0002918	0.0011672
3282	2	0.0001459	0.0010213
3288	1	7.29501e-05	0.000948351
3289	1	7.29501e-05	0.000875401
3297	1	7.29501e-05	0.000802451
3366	1	7.29501e-05	0.000729501
3447	1	7.29501e-05	0.000656551
3452	1	7.29501e-05	0.000583601
3470	1	7.29501e-05	0.000510651
3478	1	7.29501e-05	0.000437701
3485	1	7.29501e-05	0.000364751
3587	1	7.29501e-05	0.0002918
3601	1	7.29501e-05	0.00021885
3603	1	7.29501e-05	0.0001459
3606	1	7.29501e-05	7.29501e-05
3625	1	7.29501e-05	-7.54952e-15
